Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,29,941
Andrej Babiš,ANO,A,29,941
Andrea Babišová,ANO,A,29,941
Margita Balaštíková,ANO,A,29,941
Josef Bělica,ANO,A,29,941
Stanislav Berkovec,ANO,A,29,941
Jiří Bláha,ANO,A,29,941
Richard Brabec,ANO,A,29,941
Milan Brázdil,ANO,A,29,941
Andrea Brzobohatá,ANO,A,29,941
Jaroslav Bžoch,ANO,A,29,941
Monika Červíčková,ANO,A,29,941
Klára Dostálová,ANO,A,29,941
Lenka Dražilová,ANO,A,29,941
Jaroslav Faltýnek,ANO,A,29,941
Kamal Farhan,ANO,A,29,941
Milan Feranec,ANO,A,29,941
Eva Fialová,ANO,A,29,941
Stanislav Fridrich,ANO,A,29,941
Josef Hájek,ANO,A,29,941
Milan Hnilička,ANO,A,29,941
Ivan Jáč,ANO,A,29,941
Miloslav Janulík,ANO,A,29,941
Aleš Juchelka,ANO,A,29,941
Pavel Juříček,ANO,A,29,941
Iva Kalátová,ANO,A,29,941
Adam Kalous,ANO,A,29,941
David Kasal,ANO,A,29,941
Tomáš Kohoutek,ANO,A,29,941
Martin Kolovratník,ANO,A,29,941
Barbora Kořanová,ANO,A,29,941
Josef Kott,ANO,A,29,941
Robert Králíček,ANO,A,29,941
Roman Kubíček,ANO,A,29,941
Jan Kubík,ANO,A,29,941
Jaroslav Kytýr,ANO,A,29,941
Taťána Malá,ANO,A,29,941
Přemysl Mališ,ANO,A,29,941
Jiří Mašek,ANO,A,29,941
Eva Matyášová,ANO,A,29,941
Radka Maxová,ANO,M,29,941
Marcela Melková,ANO,A,29,941
Jana Mračková Vildumetzová,ANO,Z,29,941
Patrik Nacher,ANO,A,29,941
Marek Novák,ANO,A,29,941
Monika Oborná,ANO,A,29,941
Ladislav Okleštěk,ANO,0,29,941
Zuzana Ožanová,ANO,A,29,941
Jana Pastuchová,ANO,A,29,941
František Petrtýl,ANO,A,29,941
Pavel Plzák,ANO,A,29,941
Milan Pour,ANO,A,29,941
David Pražák,ANO,A,29,941
Věra Procházková,ANO,A,29,941
Pavel Pustějovský,ANO,A,29,941
Karel Rais,ANO,A,29,941
Michal Ratiborský,ANO,A,29,941
Jan Richter,ANO,A,29,941
Miloslava Rutová,ANO,A,29,941
Pavel Růžička,ANO,A,29,941
Jan Řehounek,ANO,A,29,941
Petr Sadovský,ANO,A,29,941
Jan Schiller,ANO,A,29,941
Pavel Staněk,ANO,A,29,941
Jiří Strýček,ANO,A,29,941
Karla Šlechtová,ANO,A,29,941
Julius Špičák,ANO,A,29,941
David Štolpa,ANO,A,29,941
Karel Tureček,ANO,A,29,941
Helena Válková,ANO,A,29,941
Petr Venhoda,ANO,A,29,941
Adam Vojtěch,ANO,A,29,941
Jan Volný,ANO,A,29,941
Radek Vondráček,ANO,A,29,941
Ivo Vondrák,ANO,A,29,941
Petr Vrána,ANO,A,29,941
Rostislav Vyzula,ANO,A,29,941
Radek Zlesák,ANO,A,29,941
Ivan Adamec,ODS,M,29,941
Jan Bauer,ODS,A,29,941
Martin Baxa,ODS,A,29,941
Petr Beitl,ODS,A,29,941
Marek Benda,ODS,M,29,941
Stanislav Blaha,ODS,A,29,941
Pavel Blažek,ODS,Z,29,941
Jana Černochová,ODS,A,29,941
Petr Fiala,ODS,A,29,941
Jakub Janda,ODS,A,29,941
Karel Krejza,ODS,A,29,941
Martin Kupka,ODS,A,29,941
Jaroslav Martinů,ODS,A,29,941
Ilona Mauritzová,ODS,A,29,941
Vojtěch Munzar,ODS,A,29,941
Miroslava Němcová,ODS,A,29,941
Jan Skopeček,ODS,A,29,941
Zbyněk Stanjura,ODS,Z,29,941
Bohuslav Svoboda,ODS,A,29,941
Jiří Ventruba,ODS,A,29,941
Veronika Vrecionová,ODS,A,29,941
Jan Zahradník,ODS,A,29,941
Pavel Žáček,ODS,A,29,941
Dana Balcarová,Piráti,A,29,941
Lukáš Bartoň,Piráti,A,29,941
Ivan Bartoš,Piráti,A,29,941
Lukáš Černohorský,Piráti,A,29,941
František Elfmark,Piráti,A,29,941
Mikuláš Ferjenčík,Piráti,A,29,941
Radek Holomčík,Piráti,A,29,941
Martin Jiránek,Piráti,A,29,941
Lukáš Kolářík,Piráti,A,29,941
František Kopřiva,Piráti,A,29,941
Lenka Kozlová,Piráti,A,29,941
Jan Lipavský,Piráti,A,29,941
Tomáš Martínek,Piráti,A,29,941
Jakub Michálek,Piráti,A,29,941
František Navrkal,Piráti,A,29,941
Vojtěch Pikal,Piráti,A,29,941
Ondřej Polanský,Piráti,A,29,941
Jan Pošvář,Piráti,A,29,941
Ondřej Profant,Piráti,A,29,941
Olga Richterová,Piráti,A,29,941
Petr Třešňák,Piráti,A,29,941
Tomáš Vymazal,Piráti,M,29,941
Jaroslav Dvořák,SPD,A,29,941
Radim Fiala,SPD,A,29,941
Jaroslav Holík,SPD,A,29,941
Jan Hrnčíř,SPD,A,29,941
Tereza Hyťhová,SPD,A,29,941
Monika Jarošová,SPD,A,29,941
Pavel Jelínek,SPD,A,29,941
Jiří Kobza,SPD,A,29,941
Jiří Kohoutek,SPD,A,29,941
Radek Koten,SPD,A,29,941
Jana Levová,SPD,M,29,941
Karla Maříková,SPD,A,29,941
Tomio Okamura,SPD,A,29,941
Zdeněk Podal,SPD,A,29,941
Miloslav Rozner,SPD,A,29,941
Radek Rozvoral,SPD,A,29,941
Lucie Šafránková,SPD,M,29,941
Lubomír Španěl,SPD,A,29,941
Radovan Vích,SPD,A,29,941
Jiří Běhounek,ČSSD,M,29,941
Jan Birke,ČSSD,A,29,941
Petr Dolínek,ČSSD,0,29,941
Jaroslav Foldyna,ČSSD,A,29,941
Alena Gajdůšková,ČSSD,0,29,941
Jan Hamáček,ČSSD,A,29,941
Tomáš Hanzel,ČSSD,A,29,941
Jan Chvojka,ČSSD,A,29,941
Roman Onderka,ČSSD,A,29,941
Roman Sklenák,ČSSD,A,29,941
Antonín Staněk,ČSSD,A,29,941
Kateřina Valachová,ČSSD,M,29,941
Ondřej Veselý,ČSSD,A,29,941
Václav Votava,ČSSD,A,29,941
Lubomír Zaorálek,ČSSD,A,29,941
Hana Aulická Jírovcová,KSČM,A,29,941
Alexander Černý,KSČM,A,29,941
Jiří Dolejš,KSČM,A,29,941
Vojtěch Filip,KSČM,A,29,941
Miroslav Grebeníček,KSČM,A,29,941
Stanislav Grospič,KSČM,A,29,941
Pavel Kováčik,KSČM,A,29,941
Leo Luzar,KSČM,A,29,941
Květa Matušovská,KSČM,M,29,941
Zdeněk Ondráček,KSČM,A,29,941
Daniel Pawlas,KSČM,A,29,941
Marie Pěnčíková,KSČM,M,29,941
Ivo Pojezný,KSČM,M,29,941
Jiří Valenta,KSČM,A,29,941
Miloslava Vostrá,KSČM,A,29,941
Jan Bartošek,KDU-ČSL,A,29,941
Pavel Bělobrádek,KDU-ČSL,A,29,941
Ondřej Benešík,KDU-ČSL,M,29,941
Jan Čižinský,KDU-ČSL,A,29,941
Pavla Golasowská,KDU-ČSL,A,29,941
Stanislav Juránek,KDU-ČSL,A,29,941
Marian Jurečka,KDU-ČSL,A,29,941
Vít Kaňkovský,KDU-ČSL,A,29,941
Jiří Mihola,KDU-ČSL,M,29,941
Marek Výborný,KDU-ČSL,A,29,941
Dominik Feri,TOP09,A,29,941
Miroslav Kalousek,TOP09,A,29,941
Helena Langšádlová,TOP09,A,29,941
Markéta Pekarová Adamová,TOP09,A,29,941
Karel Schwarzenberg,TOP09,M,29,941
František Vácha,TOP09,A,29,941
Vlastimil Válek,TOP09,A,29,941
Jan Farský,STAN,M,29,941
Petr Gazdík,STAN,M,29,941
Věra Kovářová,STAN,A,29,941
Jana Krutáková,STAN,A,29,941
Petr Pávek,STAN,M,29,941
Vít Rakušan,STAN,A,29,941
Marian Bojko,Nezařaz,M,29,941
Václav Klaus,Nezařaz,A,29,941
Zuzana Majerová Zahradníková,Nezařaz,A,29,941
Ivana Nevludová,Nezařaz,A,29,941
Lubomír Volný,Nezařaz,A,29,941
